id,bairro,cep,cidade,cpf,data_nasc,email,endereco,estado,idade,mae,nome,numero,signo,tipo_sanguineo,
115,Jardim Santa Fe,13187-183,Hortolandia,189.950.883-03,19/04/1974,filipeenzorenanrocha__filipeenzorenanrocha@zootecnista.com.br,Rua Catanduva,SP,45,Ana Ayla ,Filipe Enzo Renan Rocha,909,Aries,AB-,
116,Jabotiana,49095-820,Aracaju,018.915.491-89,08/10/1979,rryanisaacmoura@inpa.gov.br,Rua Antonio Nascimento Rodrigues,SE,40,Eloa Jessica Stefany ,Ryan Isaac Moura,872,Libra,A+,
117,Pajucara,57030-180,Maceio,287.100.357-29,12/06/1946,tiagobernardodaconceicao..tiagobernardodaconceicao@univap.br,Rua Doutor Lessa de Azevedo,AL,73,Cecilia Joana ,Tiago Bernardo da Conceicao,912,Gemeos,A+,
118,Muca,68902-345,Macapa,692.168.686-86,08/04/1967,heitorclaudiomanuelbarros_@inductothermgroup.com.br,Travessa Primeira da Tupis,AP,52,Evelyn Isis ,Heitor Claudio Manuel Barros,966,Aries,A-,
119,Santa Cruz,64028-818,Teresina,994.833.262-81,05/03/1990,theoluiscarloseduardofarias__theoluiscarloseduardofarias@projetemovelaria.com.br,Rua D,PI,29,Eliane Antonia Cecilia ,Theo Luis Carlos Eduardo Farias,424,Peixes,AB-,
120,Asa Sul,70305-910,Brasilia,532.555.622-36,13/02/1949,marcosviniciusyurifelipecastro__marcosviniciusyurifelipecastro@trone.com.br,SCS Quadra 5 Bloco C Lote 18/22,DF,70,Fatima Isabela Regina ,Marcos Vinicius Yuri Felipe Castro,781,Aquario,A-,
121,Santa Maria,11089-040,Santos,893.927.849-61,27/12/1944,ianantonioluandasneves_@systemsadvisers.com,Rua Indalecio de Arruda Costa,SP,75,Maya Sara Isabela ,Ian Antonio Luan das Neves,613,Capricornio,O-,
122,Mirante do Rio,45988-160,Teixeira de Freitas,911.508.160-58,19/08/1984,mmartinbenjaminjesus@inbox.com,Rua Deputada Ivete Vargas,BA,35,Emily Jessica ,Martin Benjamin Jesus,527,Leao,AB-,
123,Cidade Jardim Marilia,72855-548,Luziania,598.428.502-93,08/06/1979,marcosraimundorocha..marcosraimundorocha@maggitoyota.com.br,Quadra Quadra E 8,GO,40,Rosa Ayla Alicia ,Marcos Raimundo Rocha,438,Gemeos,AB+,
124,Cajuru,82990-280,Curitiba,617.788.187-49,18/07/1973,hugomarcioigorsilva__hugomarcioigorsilva@gringa360.com.br,Rua Roberto Brandini,PR,46,Vitoria Antonella ,Hugo Marcio Igor Silva,775,Cancer,O+,
125,Vila Santa Maria,02563-140,Sao Paulo,816.924.878-76,08/08/1949,viniciuskauenascimento-76@leonardocordeiro.com,Rua Agostinho Miranda,SP,70,Rita Louise ,Vinicius Kaue Nascimento,663,Leao,B+,
126,Elesbao,68925-302,Santana,870.599.445-40,12/04/1994,heitorleonardocalebeferreira_@fazergourmet.com.br,Travessa Acai,AP,25,Regina Gabriela Analu ,Heitor Leonardo Calebe Ferreira,700,Aries,B+,
127,Alto Alegre,69921-292,Rio Branco,831.082.317-74,24/02/1985,ggaeltomasthiagocampos@trietto.com.br,Rua Paulistana,AC,34,Rayssa Benedita Manuela ,Gael Tomas Thiago Campos,903,Peixes,AB-,
128,Boa Esperanca,56508-085,Arcoverde,126.180.305-16,21/03/1995,tomascauamartins..tomascauamartins@serteccontabil.com.br,Rua Edival Laurindo Gomes,PE,24,Yasmin Renata ,Tomas Caua Martins,333,Aries,A+,
129,Sao Francisco da Guarita,64215-245,Parnaiba,548.978.343-50,01/07/1955,lleonardofabiodepaula@grupomozue.com.br,Rua Sao Paulo,PI,64,Hadassa Maya Elza ,Leonardo Fabio de Paula,400,Cancer,AB+,
130,Lameiro,63112-160,Crato,728.111.694-23,12/06/1994,robertoheitorfarias-78@callan.com.br,Rua Neuza Tavares da Silva,CE,25,Cristiane Manuela ,Roberto Heitor Farias,724,Gemeos,AB-,
131,Alto Jose Bonifacio,52080-000,Recife,299.310.419-51,21/05/2000,franciscojorgeraimundofreitas_@saa.com.br,Rua Corrego do Euclides,PE,19,Livia Sandra Sueli ,Francisco Jorge Raimundo Freitas,484,Gemeos,A+,
132,Jardim Colorado,17512-765,Marilia,705.638.513-33,15/06/1973,hugovitorfernandes..hugovitorfernandes@2014fwcao.com,Rua Sylvio Modenese Netto,SP,46,Maria Alana ,Hugo Vitor Fernandes,864,Gemeos,AB+,
133,Fragata,96050-670,Pelotas,662.831.369-74,23/07/1974,ericklucasgoncalves-96@ficopola.net,Rua Onze,RS,45,Livia Elza ,Erick Lucas Goncalves,491,Leao,O-,
134,Mecejana,69304-300,Boa Vista,056.588.074-84,16/05/1960,llucasricardobrunoaparicio@dominatto.ind.br,Rua Manoel Costa Gomes,RR,59,Analu Patricia Joana ,Lucas Ricardo Bruno Aparicio,470,Touro,AB+,
135,Vila Washington Beleza,12702-450,Cruzeiro,395.244.862-10,22/09/1965,ccauahenryferreira@autvale.com,Rua dos Andradas,SP,54,Daiane Clara ,Caua Henry Ferreira,501,Virgem,O+,
136,Valenca,35901-096,Itabira,660.591.057-50,24/02/1939,sergiothalesduarte__sergiothalesduarte@superig.com.br,Travessa Genova,MG,80,Sueli Elaine ,Sergio Thales Duarte,163,Peixes,O-,
137,Setor Progresso,74580-530,Goiania,890.614.469-53,11/09/1979,samuelthiagovicentealmeida_@eguia.com.br,Rua E,GO,40,Sonia Tereza Giovana ,Samuel Thiago Vicente Almeida,292,Virgem,B+,
138,Jardim Residencial Villa Amato,18087-675,Sorocaba,016.408.168-28,15/09/1946,lucasraulcosta_@gruposandino.com.br,Rua Altair Mateo,SP,73,Carolina Melissa Daiane ,Lucas Raul Costa,127,Virgem,AB+,
139,Clima Bom,57071-233,Maceio,580.637.600-18,22/03/1987,luanpedrodiegobarbosa__luanpedrodiegobarbosa@hotmnail.com,Rua Luciano de Oliveira,AL,32,Aurora Fatima Catarina ,Luan Pedro Diego Barbosa,691,Aries,B-,
140,Cabralzinho,68906-127,Macapa,477.926.511-85,05/11/1976,davirobertohenryalmada..davirobertohenryalmada@aguabr.com.br,Avenida China,AP,43,Aparecida Amanda ,Davi Roberto Henry Almada,653,Escorpiao,A+,
141,Jardim Dona Emilia,17215-073,Jau,747.918.651-70,08/10/1945,eduardothiagoruanpereira_@lojabichopapao.com.br,Rua Luiz Henrique Ribeiro,SP,74,Rebeca Emily Antonella ,Eduardo Thiago Ruan Pereira,171,Libra,B+,
142,Alvorada,85601-040,Francisco Beltrao,428.323.107-02,14/06/1998,vicentecaiooliveira_@catsfeelings.com.br,Rua Sergipe,PR,21,Isabel Carolina Helena ,Vicente Caio Oliveira,578,Gemeos,AB-,
143,Plano Diretor Sul,77015-200,Palmas,941.255.686-18,26/07/1952,lleonardohenrycastro@depotit.com.br,Quadra 201 Sul Avenida Joaquim Teotonio Segurado,TO,67,Juliana Maite ,Leonardo Henry Castro,791,Leao,O-,
144,Marco,66093-350,Belem,889.320.764-80,16/07/1976,erickbenjaminmatheusramos-88@tricoproducts.com.br,Vila Transformacao,PA,43,Flavia Caroline ,Erick Benjamin Matheus Ramos,650,Cancer,A+,
145,Setor Institucional,76872-853,Ariquemes,326.797.063-66,05/06/1973,jjosemarcosdapaz@bwmtrade.com,Avenida Juscelino Kubitschek,RO,46,Benedita Lucia Elisa ,Jose Marcos da Paz,292,Gemeos,O-,
146,Agua Mineral,64006-540,Teresina,195.386.683-24,12/05/1953,arthurhenriquecastro-95@iss.com.br,Rua Padre Josino,PI,66,Isadora Rafaela Francisca ,Arthur Henrique Castro,351,Touro,O-,
147,Loteamento Residencial Jacana,86812-860,Apucarana,236.775.429-28,10/04/1941,julioluccadrumond-98@dominatto.ind.br,Rua Teodora Francolin Faila,PR,78,Livia Bruna ,Julio Lucca Drumond,162,Aries,AB+,
148,Sao Jorge,57044-240,Maceio,834.925.214-60,01/08/1965,iagomartinsouza__iagomartinsouza@paginacom.com.br,Rua Djalma de Oliveira,AL,54,Luna Louise ,Iago Martin Souza,603,Leao,AB+,
149,Boa Esperanca,78068-560,Cuiaba,053.527.615-09,12/11/1986,carloseduardoyagorenandamota__carloseduardoyagorenandamota@brws.com.br,Rua Trinta e Um,MT,33,Adriana Francisca Lucia ,Carlos Eduardo Yago Renan da Mota,158,Escorpiao,A+,
150,Cidade Nova,69095-168,Manaus,429.793.421-30,25/04/1991,manueljoaquimmiguelpereira-76@its.jnj.com,Rua Santos Dias,AM,28,Manuela Ester ,Manuel Joaquim Miguel Pereira,152,Touro,AB-,
151,Manassu,54130-090,Jaboatao dos Guararapes,096.456.530-70,20/07/1964,ryanpedrohenriquebrito..ryanpedrohenriquebrito@htmail.com,Rua Sinuca,PE,55,Rafaela Natalia Fatima ,Ryan Pedro Henrique Brito,285,Cancer,O-,
152,Sao Domingos,29915-410,Linhares,752.884.561-27,03/10/1949,severinocarloseduardocardoso__severinocarloseduardocardoso@zian.com.br,Avenida Luiz Del' Caro,ES,70,Catarina Alana Malu ,Severino Carlos Eduardo Cardoso,755,Libra,AB+,
153,Santa Rosa,64011-224,Teresina,468.623.013-65,27/11/1995,luanemanuelgabrielaparicio-77@procivil.com.br,Rua Dois,PI,24,Helena Rebeca ,Luan Emanuel Gabriel Aparicio,288,Sagitario,B-,
154,Setor Residencial Leste (Planaltina),73355-606,Brasilia,563.065.175-70,11/08/1982,muriloguilhermedarocha-97@netjacarei.com.br,Quadra Quadra 16 Conjunto 6,DF,37,Francisca Ester ,Murilo Guilherme da Rocha,637,Leao,A+,
155,Vila da Fabrica,54759-315,Camaragibe,133.300.983-68,21/12/1981,renatopauloporto_@fiorecomunicacao.com.br,Rua Altazes,PE,38,Antonia Rafaela Rebeca ,Renato Paulo Porto,603,Sagitario,O+,
156,Santos Dumont,79621-090,Tres Lagoas,846.209.981-17,15/07/1984,eedsonlorenzosergiogomes@raffinimobiliario.com.br,Rua Jose Palma,MS,35,Fernanda Silvana ,Edson Lorenzo Sergio Gomes,701,Cancer,A-,
157,Jardim do Salso,91410-010,Porto Alegre,472.888.360-45,06/12/1973,claudioricardocosta__claudioricardocosta@futureteeth.com.br,Rua Professor Gastao Dias de Castro,RS,46,Elisa Daniela Fernanda ,Claudio Ricardo Costa,783,Sagitario,B+,
158,Benedito Bentes,57084-115,Maceio,776.382.497-20,21/10/1960,leandrojorgerauldrumond__leandrojorgerauldrumond@chalu.com.br,Rua C-42,AL,59,Luana Ester Carolina ,Leandro Jorge Raul Drumond,957,Libra,B+,
159,Itoupava Central,89062-271,Blumenau,154.508.535-80,19/02/1954,anthonybryanlima..anthonybryanlima@sestito.com.br,Rua Arnoldo Muegge,SC,65,Luana Sarah ,Anthony Bryan Lima,945,Aquario,O-,
160,Farolandia,49032-466,Aracaju,691.557.840-46,21/11/1943,felipejulioribeiro-79@2registrocivil.com.br,Rua C,SE,76,Maya Liz Silvana ,Felipe Julio Ribeiro,115,Escorpiao,B-,
161,Jacarecica,57032-067,Maceio,117.685.437-20,15/05/1988,rrobertobrenonovaes@mmarques.com,Rua Projetada U-V,AL,31,Rita Jaqueline ,Roberto Breno Novaes,796,Touro,A+,
162,Tambia,58020-830,Joao Pessoa,197.684.563-70,24/06/1992,eenricoantoniokaiquedarosa@imoveisvillani.com.br,Rua Juvencio Mangueira Carneiro,PB,27,Jessica Camila Clarice ,Enrico Antonio Kaique da Rosa,557,Cancer,B+,
163,Centro,88801-130,Criciuma,611.162.872-00,06/12/1944,carloseduardocaioporto_@db4.com.br,Rua Princesa Isabel,SC,75,Malu Melissa Daiane ,Carlos Eduardo Caio Porto,810,Sagitario,AB+,
164,Parque Guajara (Icoaraci),66821-160,Belem,792.268.143-76,01/06/1982,heitorricardoraimundoalmeida-84@huggoromano.com,Alameda Tres,PA,37,Adriana Bianca ,Heitor Ricardo Raimundo Almeida,739,Gemeos,B-,
165,Novo Mexico,29104-015,Vila Velha,979.892.628-51,26/04/1981,eenzojorgemoreira@lajescobre.com,Rua Rosa de Ouro,ES,38,Rosangela Elaine ,Enzo Jorge Moreira,902,Touro,B-,
166,Lagoa Nova,59076-460,Natal,419.574.078-91,05/07/1946,ttheobrenopietronascimento@tera.com.br,Rua da Betonita,RN,73,Cristiane Gabriela ,Theo Breno Pietro Nascimento,656,Cancer,AB-,
167,Jardins Mangueiral (Sao Sebastiao),71699-230,Brasilia,764.014.351-94,11/06/1979,bernardorenatotiagogoncalves..bernardorenatotiagogoncalves@abdalathomaz.adv.br,Quadra QC 5 Rua J,DF,40,Isabel Aline ,Bernardo Renato Tiago Goncalves,839,Gemeos,A+,
168,Jardins,49025-650,Aracaju,239.059.157-40,07/02/1951,brenomurilotomascarvalho..brenomurilotomascarvalho@ynail.com.br,Rua Professor Roberto Queiroz,SE,68,Beatriz Andreia ,Breno Murilo Tomas Carvalho,395,Aquario,O-,
169,Vila do Riacho,29197-308,Aracruz,687.027.240-90,02/02/1942,jjorgemartingomes@uol.om.br,Travessa Geraldo Jose de Alvarenga,ES,77,Leticia Beatriz Marcia ,Jorge Martin Gomes,776,Aquario,AB+,
170,Cabralzinho,68906-145,Macapa,284.114.079-26,21/09/1982,brenovicentedepaula_@sunrise.com.br,Rua Belo Horizonte,AP,37,Clarice Andrea ,Breno Vicente de Paula,781,Virgem,AB-,
171,Zona de Expansao (Aruana),49000-707,Aracaju,231.395.873-68,11/09/1992,raimundoaugustoalves..raimundoaugustoalves@evolink.com.br,Rua G,SE,27,Leticia Juliana Luna ,Raimundo Augusto Alves,876,Virgem,A-,
172,Nucleo Habitacional Tancredo Neves,86807-150,Apucarana,014.283.688-50,04/08/1978,olivervictorrezende..olivervictorrezende@autvale.com,Rua Jose Alfredo de Souza,PR,41,Daniela Amanda Sara ,Oliver Victor Rezende,896,Leao,B+,
173,Todos os Santos,64089-201,Teresina,497.687.292-01,24/01/1944,brunomarcelonelsondamata_@bigfoot.com,Quadra B,PI,75,Patricia Yasmin ,Bruno Marcelo Nelson da Mata,440,Aquario,B+,
174,Colonia Santo Antonio,69093-347,Manaus,369.712.029-88,17/10/1978,mateusvitorbrito_@granvale.com.br,Rua do Inga,AM,41,Esther Melissa ,Mateus Vitor Brito,490,Libra,B-,
175,Bom Jesus,65042-884,Sao Luis,965.400.062-84,01/07/1948,lorenzoigoralmada-82@bfgadvogados.com,4a Travessa Sao Cristovao,MA,71,Aurora Brenda Daiane ,Lorenzo Igor Almada,337,Cancer,B-,
176,Restinga,91792-310,Porto Alegre,983.571.528-99,10/01/1961,viniciusbeneditothaleslima__viniciusbeneditothaleslima@santarte.com,Acesso O,RS,58,Sueli Mirella Isis ,Vinicius Benedito Thales Lima,917,Capricornio,AB+,
177,Santa Lucia,57082-007,Maceio,400.141.786-30,11/01/1975,diogonathandiegoaraujo..diogonathandiegoaraujo@ne.com,Rua Vitoria,AL,44,Julia Rebeca ,Diogo Nathan Diego Araujo,240,Capricornio,O-,
178,Santa Monica,29221-050,Guarapari,024.074.419-58,18/08/1980,aalexandrericardodacunha@s2solucoes.com.br,Avenida Braulio Azevedo Torres,ES,39,Sandra Cristiane Rafaela ,Alexandre Ricardo da Cunha,309,Leao,A-,
179,Serraria,57046-355,Maceio,246.314.897-74,08/09/1961,henryrauldacruz..henryrauldacruz@sent.com,Rua Felipe dos Anjos Feitosa,AL,58,Lorena Luna ,Henry Raul da Cruz,784,Virgem,O+,
180,Joquei,64048-072,Teresina,625.269.351-05,24/05/1966,murilocesardacunha_@yahoo.com,Rua Marcos Parente,PI,53,Elza Emily Tania ,Murilo Cesar da Cunha,475,Gemeos,B+,
181,Mata da Praia,29065-670,Vitoria,986.415.556-33,14/02/1978,ccalebarthurvictorpereira@redealumni.com,Rua Caetano Vello,ES,41,Elaine Hadassa ,Caleb Arthur Victor Pereira,131,Aquario,O-,
182,Presidente Medici,89801-320,Chapeco,580.348.574-83,21/10/1959,cauaricardoteixeira_@zulix.com.br,Rua Irlanda,SC,60,Alice Josefa Luzia ,Caua Ricardo Teixeira,828,Libra,A+,
183,Guara I,71010-199,Brasilia,364.475.198-62,13/11/1946,jjoaquimnathancauaalmeida@teravida.com.br,Quadra QI 12 Bloco S,DF,73,Silvana Sarah Mariana ,Joaquim Nathan Caua Almeida,856,Escorpiao,A-,
184,Pajucara,59122-245,Natal,933.966.626-79,03/01/1940,bryanmanuelrafaelviana-97@avantii.com.br,Rua Sertao do Jacuma,RN,79,Leticia Luciana ,Bryan Manuel Rafael Viana,505,Capricornio,AB-,
185,Maguari,67145-054,Ananindeua,004.020.991-17,22/05/1939,ggeraldocalebepires@unilever.com,Quadra Cento e Quatorze,PA,80,Milena Ayla Isabelly ,Geraldo Calebe Pires,312,Gemeos,A-,
186,Loteamento Manoel Gomes da Cunha,77818-971,Araguaina,095.027.840-81,06/02/1963,daviaugustoporto_@tpltransportes.com.br,Avenida Santos Dumont 237,TO,56,Daiane Mirella Luiza ,Davi Augusto Porto,758,Aquario,A-,
187,Marapicu,26294-447,Nova Iguacu,936.828.222-67,10/06/1986,marcioaugustodasilva__marcioaugustodasilva@csa.edu.br,Rua Carlos de Oliveira,RJ,33,Esther Teresinha ,Marcio Augusto da Silva,967,Gemeos,B-,
188,Lagoa Azul,68909-706,Macapa,681.663.899-91,09/06/1992,calebtomasalexandrepeixoto..calebtomasalexandrepeixoto@ferplast.com.br,Rua Fabio Cordeiro,AP,27,Malu Debora ,Caleb Tomas Alexandre Peixoto,664,Gemeos,A-,
189,Antares,57083-149,Maceio,158.963.458-60,16/03/1942,manueljoaquimpauloferreira-82@efetivaseguros.com.br,Quadra G-19,AL,77,Adriana Antonia Livia ,Manuel Joaquim Paulo Ferreira,378,Peixes,A-,
190,Prado,57010-270,Maceio,044.320.092-09,04/01/1989,lorenzojoaquimdanilorodrigues-88@ortovip.com.br,Travessa Franco Jatoba,AL,30,Fabiana Leticia Sophia ,Lorenzo Joaquim Danilo Rodrigues,693,Capricornio,AB-,
191,Nossa Senhora das Gracas,92110-290,Canoas,168.540.583-50,25/05/1969,juanhugootavioalmeida__juanhugootavioalmeida@vemarbrasil.com.br,Rua Mem de Sa,RS,50,Marli Giovana ,Juan Hugo Otavio Almeida,911,Gemeos,A+,
192,Jardim Altamira,68376-586,Altamira,076.678.965-93,12/02/1990,enricojoaquimcardoso..enricojoaquimcardoso@patrezao.com.br,Rua W4,PA,29,Sarah Lucia Livia ,Enrico Joaquim Cardoso,867,Aquario,O+,
193,Vila Nova,15501-393,Votuporanga,661.360.120-90,22/06/1996,joaojoaquimisaacalmada..joaojoaquimisaacalmada@serteccontabil.com.br,Rua Cavenagui,SP,23,Sara Alana Louise ,Joao Joaquim Isaac Almada,512,Cancer,O+,
194,Terra Prometida,68456-677,Tucurui,059.898.787-88,14/03/1955,yagosamuellucasaragao..yagosamuellucasaragao@lexos.com.br,Rua Quinze de Novembro,PA,64,Vera Manuela ,Yago Samuel Lucas Aragao,840,Peixes,O-,
195,Quintas,59040-014,Natal,139.764.310-28,07/04/1991,fernandobenjaminmoreira-73@pciinformatica.com,Vila Manoel Caboclo,RN,28,Vitoria Alessandra Renata ,Fernando Benjamin Moreira,326,Aries,O+,
196,Setor 05,76870-668,Ariquemes,118.499.193-64,24/10/1989,mmarcioianribeiro@comercialrizzo.com,Rua Costa Marques,RO,30,Silvana Sandra ,Marcio Ian Ribeiro,580,Escorpiao,AB-,
197,Colonia Terra Nova,69015-205,Manaus,691.013.745-08,24/04/2001,ssebastiaogaelbaptista@suplementototal.com.br,Rua Santo Afonso,AM,18,Sandra Brenda ,Sebastiao Gael Baptista,947,Touro,AB-,
198,Cohama,65064-491,Sao Luis,081.168.822-44,25/06/1996,aalexandreclaudiooliveraraujo@yahoo.com.br,2a Travessa Catorze,MA,23,Aparecida Flavia Giovana ,Alexandre Claudio Oliver Araujo,314,Cancer,B+,
199,Parque Real,78740-335,Rondonopolis,903.197.550-88,19/04/1943,marceloigorbenjamindamota..marceloigorbenjamindamota@dbacomp.com.br,Rua Hiroshi Kawatoko,MT,76,Raimunda Patricia Marina ,Marcelo Igor Benjamin da Mota,564,Aries,B+,
200,Centro,89010-212,Blumenau,164.590.889-50,22/03/1999,giovannicaueenricodamata__giovannicaueenricodamata@superativacoop.com.br,Rua Elimar Baumgarten,SC,20,Fabiana Raimunda ,Giovanni Caue Enrico da Mata,153,Aries,A+,
201,Sao Francisco I,65636-766,Timon,318.665.882-90,10/02/1991,ddiegobeniciomanoeldasilva@navescorat.com.br,Rua Dezesseis,MA,28,Pietra Catarina ,Diego Benicio Manoel da Silva,263,Aquario,AB-,
202,Setor Aeroporto (Mutirao),73751-304,Planaltina,507.094.755-94,21/11/1991,ruanvicentesilva__ruanvicentesilva@acramisper.com,Quadra Quadra 4,GO,28,Isis Ana ,Ruan Vicente Silva,531,Escorpiao,A+,
203,Balneario de Carapebus,29164-864,Serra,700.263.978-11,22/05/1972,nathanarthuremanueldarosa__nathanarthuremanueldarosa@ericsson.com,Rua da Goiabeira,ES,47,Andrea Simone Stefany ,Nathan Arthur Emanuel da Rosa,276,Gemeos,B+,
204,Jardim Italia,78060-820,Cuiaba,370.946.002-67,10/03/1943,claudiojorgesilveira_@academiahct.com.br,Rua Alessandria,MT,76,Esther Simone Josefa ,Claudio Jorge Silveira,792,Peixes,O-,
205,Bone Azul,68909-167,Macapa,415.249.900-19,12/08/1996,emanuelfelipefigueiredo__emanuelfelipefigueiredo@helponline-sti.com,Rua Abelardo Barbosa,AP,23,Raimunda Antonia Alessandra ,Emanuel Felipe Figueiredo,266,Leao,B+,
206,Jardim Esplanada II,13331-583,Indaiatuba,599.288.177-82,22/10/1967,tomasruandrumond_@monsanto.com,Rua Guilherme Siebert Magnusson,SP,52,Benedita Giovanna ,Tomas Ruan Drumond,735,Libra,O+,
207,Icui-Guajara,67125-821,Ananindeua,964.500.774-76,01/03/1946,joaquimjorgepedrohenriquedossantos_@tanet.com.br,Quadra Quatro,PA,73,Maria Vanessa Bruna ,Joaquim Jorge Pedro Henrique dos Santos,641,Peixes,B-,
208,Vila Rubi,12245-581,Sao Jose dos Campos,351.604.032-72,01/02/1952,calebemarcosmiguelferreira-96@selfcd.com.br,Rua Anesia Nunes Matarazzo,SP,67,Larissa Eduarda ,Calebe Marcos Miguel Ferreira,983,Aquario,O-,
209,Lagoa de Jacaraipe,29175-763,Serra,129.018.336-83,25/01/1974,marcossebastiaoviniciuspinto_@construtoracostanorte.com.br,Rua Sao Carlos,ES,45,Teresinha Luiza ,Marcos Sebastiao Vinicius Pinto,182,Aquario,B+,
210,Vila Caraipe,45990-510,Teixeira de Freitas,805.118.969-80,19/12/1944,ppaulomartinjuandrumond@moen.com.br,Rua da Alquimia,BA,75,Hadassa Ayla Rebeca ,Paulo Martin Juan Drumond,114,Sagitario,O+,
211,Dr. Airton Rocha,69318-766,Boa Vista,247.677.275-53,11/10/1977,brunodiegomarcosviniciusdrumond_@jetstar.com.br,Rua Aristoteles de Lima Carneiro,RR,42,Cristiane Lorena Gabrielly ,Bruno Diego Marcos Vinicius Drumond,851,Libra,B+,
212,Santa Cruz dos Navegantes,11425-150,Guaruja,838.010.762-45,23/06/1955,miguelyurigabrielnogueira__miguelyurigabrielnogueira@eberlin.agr.br,Rua Orlando Botelho Ribeiro,SP,64,Lorena Sophia Catarina ,Miguel Yuri Gabriel Nogueira,555,Cancer,O+,
213,Boa Vista,89167-156,Rio do Sul,637.374.815-47,10/07/1971,theomarcelomendes..theomarcelomendes@bplan.com.br,Beco Nicolau Huberto Selhorst,SC,48,Ana Allana Beatriz ,Theo Marcelo Mendes,409,Cancer,AB-,
214,Jardim Campo Nobre,79073-015,Campo Grande,235.101.451-00,18/03/1976,kaiquediogodiegoteixeira..kaiquediogodiegoteixeira@br.flextronics.com,Rua Campina Nova,MS,43,Maria Rosa ,Kaique Diogo Diego Teixeira,183,Peixes,B+,
215,Areinha,65033-120,Sao Luis,738.933.596-30,07/01/1948,calebetiagoalmada__calebetiagoalmada@bighost.com.br,Rua Sururu,MA,71,Sebastiana Lucia Cristiane ,Calebe Tiago Almada,787,Capricornio,AB+,
216,Democrito Rocha,60440-100,Fortaleza,763.738.554-06,11/11/1993,ffelipenoahdasilva@coldblock.com.br,Rua Amapa,CE,26,Fabiana Bruna ,Felipe Noah da Silva,646,Escorpiao,AB-,
217,Nova Cachoeirinha,31250-553,Belo Horizonte,113.156.576-27,06/09/1950,leviantoniobarbosa__leviantoniobarbosa@andritz.com,Beco do Arlindo,MG,69,Sabrina Eduarda Eliane ,Levi Antonio Barbosa,950,Virgem,A-,
218,Sitio Cercado,81920-775,Curitiba,627.632.359-48,18/12/1996,renanluisguilhermemartins_@rj.net,Travessa Claudio Tyszka,PR,23,Valentina Aline Debora ,Renan Luis Guilherme Martins,857,Sagitario,O+,
219,Lagoinha,76829-761,Porto Velho,296.220.318-38,13/04/1973,hugobryancastro..hugobryancastro@obrativaengenharia.com.br,Rua Benedito Inocencio,RO,46,Raimunda Manuela ,Hugo Bryan Castro,890,Aries,B+,
220,Nova Parnamirim,59152-025,Parnamirim,431.130.559-11,10/06/1998,claudiolevimoura-86@audiogeni.com.br,Rua Jabuticabeira,RN,21,Valentina Alice Nina ,Claudio Levi Moura,138,Gemeos,O-,
221,Manaira,58038-142,Joao Pessoa,122.452.839-53,11/03/1975,migueljoaquimmariomoura__migueljoaquimmariomoura@tglaw.com.br,Avenida Guarabira,PB,44,Melissa Beatriz ,Miguel Joaquim Mario Moura,207,Peixes,O+,
222,Redencao,69047-096,Manaus,948.797.916-60,04/09/1939,ruanhugodavidrumond_@dmcard.com.br,Beco Paulo Lasmar,AM,80,Luana Nair ,Ruan Hugo Davi Drumond,438,Virgem,O-,
223,Portal da Amazonia,69915-768,Rio Branco,799.680.562-86,12/07/1949,heitorantonioaragao..heitorantonioaragao@tec3.com.br,Rua Juriti,AC,70,Maya Alicia Renata ,Heitor Antonio Aragao,420,Cancer,B+,
224,Visconde de Maua,96508-600,Cachoeira do Sul,146.528.373-05,16/02/1941,arthurfernandoyurijesus-78@abdalathomaz.adv.br,Rua Joao Nunes,RS,78,Claudia Jessica ,Arthur Fernando Yuri Jesus,942,Aquario,AB-,
225,Aracas,29103-110,Vila Velha,423.683.611-46,08/01/1991,emanueljuanrodrigues__emanueljuanrodrigues@tilapiareal.com.br,Rua Ancara,ES,28,Antonia Ana ,Emanuel Juan Rodrigues,210,Capricornio,O+,
226,Parque das Palmeiras,65911-720,Imperatriz,171.682.353-62,14/11/1961,heitordiogofernandes_@gestion.com.br,Rua Perimetral,MA,58,Isabella Giovanna Cristiane ,Heitor Diogo Fernandes,707,Escorpiao,O-,
227,Camboinha,58101-385,Cabedelo,356.335.057-43,16/05/1984,lluccamarcosviniciussamuelpeixoto@acaoi.com.br,Rua Agostinho Garcia Lobo,PB,35,Sabrina Stefany Mariana ,Lucca Marcos Vinicius Samuel Peixoto,550,Touro,O-,
228,Fonte Boa,68742-853,Castanhal,888.712.826-04,27/02/1980,theovitorsilveira..theovitorsilveira@gconsult.com.br,Rua IV,PA,39,Marcia Silvana ,Theo Vitor Silveira,920,Peixes,B-,
229,Fragata,96050-160,Pelotas,157.355.861-30,08/08/1954,theopietrorodrigues__theopietrorodrigues@catsfeelings.com.br,Rua Fernando Braga,RS,65,Tania Andreia ,Theo Pietro Rodrigues,748,Leao,B-,
230,Jardim Primavera,69919-626,Rio Branco,867.143.147-95,15/12/1988,nelsontiagorenatodarocha__nelsontiagorenatodarocha@idesc.com.br,Beco das Rosas,AC,31,Silvana Ester Rafaela ,Nelson Tiago Renato da Rocha,878,Sagitario,B-,
231,Passagem,28906-140,Cabo Frio,930.417.274-80,19/11/1943,caiobenicioassis..caiobenicioassis@vnews.com.br,Rua Liberdade,RJ,76,Esther Debora ,Caio Benicio Assis,452,Escorpiao,O+,
